aggregation_type,model,evaluation_subset,metric,value,n_profiles_contributing
pooled,clsi_adapt,model_native,auc,0.9758536533628333,4
pooled,clsi_adapt,model_native,precision,0.45178335535006603,4
pooled,clsi_adapt,model_native,recall,0.9168900804289544,4
pooled,clsi_adapt,model_native,f1,0.6053097345132743,4
mean_across_profiles,clsi_adapt,model_native,auc,0.9694362593658888,3
std_across_profiles,clsi_adapt,model_native,auc,0.004937039720370795,3
mean_across_profiles,clsi_adapt,model_native,precision,0.34900893983564507,4
std_across_profiles,clsi_adapt,model_native,precision,0.20249250250961756,4
mean_across_profiles,clsi_adapt,model_native,recall,0.6642811785623571,4
std_across_profiles,clsi_adapt,model_native,recall,0.38744058277378196,4
mean_across_profiles,clsi_adapt,model_native,f1,0.45625945833089687,4
std_across_profiles,clsi_adapt,model_native,f1,0.2636919897670599,4
pooled,rule_based_clsi,model_native,auc,0.07407163710448485,5
pooled,rule_based_clsi,model_native,precision,0.004901620771774063,5
pooled,rule_based_clsi,model_native,recall,0.22722400857449088,5
pooled,rule_based_clsi,model_native,f1,0.009596233930834691,5
mean_across_profiles,rule_based_clsi,model_native,auc,0.08221449049723326,4
std_across_profiles,rule_based_clsi,model_native,auc,0.04318363188413634,4
mean_across_profiles,rule_based_clsi,model_native,precision,0.005528886855437187,5
std_across_profiles,rule_based_clsi,model_native,precision,0.0058752875159581875,5
mean_across_profiles,rule_based_clsi,model_native,recall,0.14731628687152157,5
std_across_profiles,rule_based_clsi,model_native,recall,0.12295973560395328,5
mean_across_profiles,rule_based_clsi,model_native,f1,0.010505580552165054,5
std_across_profiles,rule_based_clsi,model_native,f1,0.011092078203892674,5
pooled,bkt,model_native,auc,0.030518172600301742,5
pooled,bkt,model_native,precision,0.0,5
pooled,bkt,model_native,recall,0.0,5
pooled,bkt,model_native,f1,0.0,5
mean_across_profiles,bkt,model_native,auc,0.045422820844061434,4
std_across_profiles,bkt,model_native,auc,0.021046373878718865,4
mean_across_profiles,bkt,model_native,precision,0.0,5
std_across_profiles,bkt,model_native,precision,0.0,5
mean_across_profiles,bkt,model_native,recall,0.0,5
std_across_profiles,bkt,model_native,recall,0.0,5
mean_across_profiles,bkt,model_native,f1,0.0,5
std_across_profiles,bkt,model_native,f1,0.0,5
pooled,clsi_adapt,common_oof,auc,0.9758536533628333,4
pooled,clsi_adapt,common_oof,precision,0.45178335535006603,4
pooled,clsi_adapt,common_oof,recall,0.9168900804289544,4
pooled,clsi_adapt,common_oof,f1,0.6053097345132743,4
mean_across_profiles,clsi_adapt,common_oof,auc,0.9694362593658888,3
std_across_profiles,clsi_adapt,common_oof,auc,0.004937039720370795,3
mean_across_profiles,clsi_adapt,common_oof,precision,0.34900893983564507,4
std_across_profiles,clsi_adapt,common_oof,precision,0.20249250250961756,4
mean_across_profiles,clsi_adapt,common_oof,recall,0.6642811785623571,4
std_across_profiles,clsi_adapt,common_oof,recall,0.38744058277378196,4
mean_across_profiles,clsi_adapt,common_oof,f1,0.45625945833089687,4
std_across_profiles,clsi_adapt,common_oof,f1,0.2636919897670599,4
pooled,rule_based_clsi,common_oof,auc,0.091466923389875,4
pooled,rule_based_clsi,common_oof,precision,0.007387092493475472,4
pooled,rule_based_clsi,common_oof,recall,0.22386058981233245,4
pooled,rule_based_clsi,common_oof,f1,0.01430223097674817,4
mean_across_profiles,rule_based_clsi,common_oof,auc,0.1061924797976057,3
std_across_profiles,rule_based_clsi,common_oof,auc,0.013162558656196945,3
mean_across_profiles,rule_based_clsi,common_oof,precision,0.006696003642947464,4
std_across_profiles,rule_based_clsi,common_oof,precision,0.005642328930511083,4
mean_across_profiles,rule_based_clsi,common_oof,recall,0.18323019373311472,4
std_across_profiles,rule_based_clsi,common_oof,recall,0.11089298824141493,4
mean_across_profiles,rule_based_clsi,common_oof,f1,0.012729057952690786,4
std_across_profiles,rule_based_clsi,common_oof,f1,0.010642894702924477,4
pooled,bkt,common_oof,auc,0.042243411703752655,4
pooled,bkt,common_oof,precision,0.0,4
pooled,bkt,common_oof,recall,0.0,4
pooled,bkt,common_oof,f1,0.0,4
mean_across_profiles,bkt,common_oof,auc,0.04775180997299403,3
std_across_profiles,bkt,common_oof,auc,0.02485567179418543,3
mean_across_profiles,bkt,common_oof,precision,0.0,4
std_across_profiles,bkt,common_oof,precision,0.0,4
mean_across_profiles,bkt,common_oof,recall,0.0,4
std_across_profiles,bkt,common_oof,recall,0.0,4
mean_across_profiles,bkt,common_oof,f1,0.0,4
std_across_profiles,bkt,common_oof,f1,0.0,4
