profile,model,evaluation_subset,auc,precision,recall,f1,n_expected,n_predictions,n_missing,n_positive,n_negative
fast_accurate,clsi_adapt,model_native,0.9653318208912188,0.43781725888324874,0.905511811023622,0.5902480752780154,9970,8100,1870,381,7719
fast_accurate,rule_based_clsi,model_native,0.11824017705674199,0.012992231449236539,0.20726495726495728,0.024451726745651627,9970,9970,0,468,9502
fast_accurate,bkt,model_native,0.07570246120025115,0.0,0.0,0.0,9970,9970,0,468,9502
fast_accurate,clsi_adapt,common_oof,0.9653318208912188,0.43781725888324874,0.905511811023622,0.5902480752780154,8100,8100,0,381,7719
fast_accurate,rule_based_clsi,common_oof,0.1115832392307355,0.012357884330202669,0.1968503937007874,0.023255813953488372,8100,8100,0,381,7719
fast_accurate,bkt,common_oof,0.0785244100608683,0.0,0.0,0.0,8100,8100,0,381,7719
fast_inaccurate,clsi_adapt,model_native,,0.0,0.0,0.0,9970,3240,6730,0,3240
fast_inaccurate,rule_based_clsi,model_native,0.012474499180629373,0.0,0.0,0.0,9970,9970,0,3,9967
fast_inaccurate,bkt,model_native,0.03504899501688903,0.0,0.0,0.0,9970,9970,0,3,9967
fast_inaccurate,clsi_adapt,common_oof,,0.0,0.0,0.0,3240,3240,0,0,3240
fast_inaccurate,rule_based_clsi,common_oof,,0.0,0.0,0.0,3240,3240,0,0,3240
fast_inaccurate,bkt,common_oof,,0.0,0.0,0.0,3240,3240,0,0,3240
slow_accurate,clsi_adapt,model_native,0.976379974326059,0.4638364779874214,0.9516129032258065,0.6236786469344608,9970,8100,1870,310,7790
slow_accurate,rule_based_clsi,model_native,0.11816955633860825,0.012290794979079499,0.2416452442159383,0.023391812865497075,9970,9970,0,389,9581
slow_accurate,bkt,model_native,0.05204106027111821,0.0,0.0,0.0,9970,9970,0,389,9581
slow_accurate,clsi_adapt,common_oof,0.976379974326059,0.4638364779874214,0.9516129032258065,0.6236786469344608,8100,8100,0,310,7790
slow_accurate,rule_based_clsi,common_oof,0.11892707772578573,0.012208835341365461,0.24516129032258063,0.02325937260902831,8100,8100,0,310,7790
slow_accurate,bkt,common_oof,0.04707917512112303,0.0,0.0,0.0,8100,8100,0,310,7790
slow_inaccurate,clsi_adapt,model_native,,,,,9970,0,9970,0,0
slow_inaccurate,rule_based_clsi,model_native,,0.0,0.0,0.0,9970,9970,0,0,9970
slow_inaccurate,bkt,model_native,,0.0,0.0,0.0,9970,9970,0,0,9970
slow_inaccurate,clsi_adapt,common_oof,,,,,0,0,0,0,0
slow_inaccurate,rule_based_clsi,common_oof,,,,,0,0,0,0,0
slow_inaccurate,bkt,common_oof,,,,,0,0,0,0,0
average,clsi_adapt,model_native,0.9665969828803888,0.4943820224719101,0.8,0.6111111111111112,9970,8100,1870,55,8045
average,rule_based_clsi,model_native,0.07997372941295341,0.002361407848869898,0.2876712328767123,0.004684363149676556,9970,9970,0,73,9897
average,bkt,model_native,0.018898766887987365,0.0,0.0,0.0,9970,9970,0,73,9897
average,clsi_adapt,common_oof,0.9665969828803888,0.4943820224719101,0.8,0.6111111111111112,8100,8100,0,55,8045
average,rule_based_clsi,common_oof,0.08806712243629582,0.0022172949002217295,0.2909090909090909,0.004401045248246458,8100,8100,0,55,8045
average,bkt,common_oof,0.01765184473699078,0.0,0.0,0.0,8100,8100,0,55,8045
