profile,model,n_events,n_detected,n_recovered,n_unrecovered,event_recall,mean_recovery_time,median_recovery_time
fast_accurate,clsi_adapt,1207,137,137,0,0.11350455675227837,3.3795620437956204,2.0
fast_accurate,rule_based_clsi,1207,1104,1094,10,0.9146644573322287,7.280621572212066,5.0
fast_accurate,bkt,1207,1040,1030,10,0.8616404308202155,7.399029126213592,6.0
fast_inaccurate,clsi_adapt,1034,0,0,0,0.0,,
fast_inaccurate,rule_based_clsi,1034,1024,1008,16,0.9903288201160542,11.28968253968254,8.0
fast_inaccurate,bkt,1034,1018,1002,16,0.9845261121856866,11.300399201596806,8.0
slow_accurate,clsi_adapt,1198,110,110,0,0.09181969949916527,4.545454545454546,3.0
slow_accurate,rule_based_clsi,1198,1121,1108,13,0.9357262103505843,7.548736462093863,6.0
slow_accurate,bkt,1198,1063,1050,13,0.8873121869782972,7.696190476190476,6.0
slow_inaccurate,clsi_adapt,1063,0,0,0,0.0,,
slow_inaccurate,rule_based_clsi,1063,1060,1051,9,0.9971777986829727,10.899143672692674,8.0
slow_inaccurate,bkt,1063,1057,1048,9,0.9943555973659455,10.907442748091603,8.0
average,clsi_adapt,1122,15,15,0,0.013368983957219251,5.933333333333334,3.0
average,rule_based_clsi,1122,1096,1087,9,0.9768270944741533,9.708371665133395,7.0
average,bkt,1122,1078,1068,10,0.9607843137254902,9.782771535580524,7.0
